252
xkygno rceruj dnstba psjrdd yxfkue tqprtz sgulpg gqrzdk fglted vlnrkq hmhmse xfalzt gyktzj vcxtrv tvwaun sbvzcy onotem rtgmgy
6 3 13 2 15 5 9 16 14 11 1 17 18 7 10 8 4 12
3 19 1 -1 -1 {1}
1 19 -1 -1 -1 {-1}
5 18 X 1 3 {1, -1}
17 16 X 3 5 {1, -1}
2 19 0 -1 -1 {0}
6 18 X 2 3 {0, 1}
14 17 X 6 3 {0, 1}
52 13 X 29 34 {0, 1, -1}
80 12 X 17 52 {0, 1, -1}
130 11 X 91 80 {0, 1, -1}
153 10 X 131 130 {0, 1, -1}
185 8 X 153 90 {0, 1, -1}
202 7 X 17 185 {0, 1, -1}
220 6 X 177 202 {0, 1, -1}
61 13 X 36 39 {0, 1, -1}
89 12 X 17 61 {0, 1, -1}
56 13 X 32 39 {0, 1, -1}
84 12 X 17 56 {0, 1, -1}
128 11 X 89 84 {0, 1, -1}
55 13 X 32 34 {0, 1, -1}
83 12 X 17 55 {0, 1, -1}
127 11 X 89 83 {0, 1, -1}
152 10 X 128 127 {0, 1, -1}
171 9 X 17 152 {0, 1, -1}
161 9 X 17 90 {0, 1, -1}
191 8 X 171 161 {0, 1, -1}
206 7 X 17 191 {0, 1, -1}
223 6 X 177 206 {0, 1, -1}
234 5 X 220 223 {0, 1, -1}
245 4 X 236 234 {0, 1, -1}
249 3 X 244 245 {0, 1, -1}
217 6 X 177 17 {1, -1}
112 11 X 17 65 {0, 1, -1}
143 10 X 112 17 {0, 1, -1}
101 12 X 65 17 {0, 1, -1}
115 11 X 17 101 {0, 1, -1}
146 10 X 115 17 {0, 1, -1}
182 8 X 143 146 {0, 1, -1}
199 7 X 17 182 {0, 1, -1}
218 6 X 177 199 {0, 1, -1}
232 5 X 217 218 {0, 1, -1}
242 4 X 217 232 {0, 1, -1}
50 13 X 17 39 {0, 1, -1}
78 12 X 17 50 {0, 1, -1}
113 11 X 17 78 {0, 1, -1}
144 10 X 113 17 {0, 1, -1}
183 8 X 144 17 {0, 1, -1}
200 7 X 17 183 {0, 1, -1}
219 6 X 177 200 {0, 1, -1}
67 13 X 43 39 {0, 1, -1}
92 12 X 17 67 {0, 1, -1}
114 11 X 17 92 {0, 1, -1}
145 10 X 114 17 {0, 1, -1}
168 9 X 17 145 {0, 1, -1}
189 8 X 168 17 {0, 1, -1}
204 7 X 17 189 {0, 1, -1}
222 6 X 177 204 {0, 1, -1}
233 5 X 219 222 {0, 1, -1}
243 4 X 217 233 {0, 1, -1}
248 3 X 242 243 {0, 1, -1}
251 2 X 249 248 {0, 1, -1}
252 1 X 250 251 {0, 1, -1}
